Cluster,Constant,Area,MAP,Distance from Coast
1,-18.32,0.49,3.19,-0.82
2,2.34,0.50,0.43,-2.52
3,2.34,0.50,0.43,-2.52
4,-39.34,0.63,6.03,0.23
5,-6.01,0.64,1.00,-0.30
6,-21.52,0.66,3.09,1.13
7,-18.34,0.70,2.60,0.79
8,-35.46,0.64,5.10,1.96
9,-6.40,0.80,0.76,0.52
10,-8.67,0.85,1.08,0.28
11,-6.01,0.64,1.00,-0.30
12,-5.23,0.74,0.73,0.16
13,-10.59,0.51,1.77,0.20
14,-8.95,0.62,1.41,-0.17
15,-8.45,0.63,1.37,-0.15
16,-8.38,0.57,1.40,0.02
17,-11.82,0.70,1.83,-0.03
18,-9.27,0.82,1.37,-0.32
19,-3.36,0.66,0.54,-0.52
20,-13.04,1.02,1.87,0.39
21,-13.04,1.02,1.87,0.39
22,-13.04,1.02,1.87,0.39
23,-13.04,1.02,1.87,0.39
24,-13.04,1.02,1.87,0.39
25,-5.17,0.74,0.77,-0.32
26,-2.16,0.69,0.30,-0.50
27,-2.16,0.69,0.30,-0.50
28,-3.21,0.67,0.50,-0.38
29,0.15,0.47,0.17,-0.41
30,-7.48,0.68,1.16,-0.16
31,-7.48,0.68,1.16,-0.16
32,-7.48,0.68,1.16,-0.16
33,-2.45,0.67,0.45,-0.05
34,4.42,0.68,-0.55,-0.05
35,2.34,0.61,-0.20,-0.02
36,-6.21,0.60,1.06,0.10
37,4.15,0.66,-0.50,-0.06
38,-4.41,0.77,0.53,0.05
39,-4.41,0.77,0.53,0.05
40,-7.92,0.78,1.05,-0.09
41,-10.56,0.90,1.38,-0.22
42,-11.46,0.85,1.48,0.32
